movie_id,title,original_title,original_language,overview,tagline,status,homepage,budget,revenue,runtime,popularity,vote_average,vote_count,release_date,profit,roi,release_year,release_month,vote_weighted
24,Kill Bill: Vol. 1,Kill Bill: Vol. 1,en,"An assassin is shot at the altar by her ruthless employer, Bill and other members of their assassination circle – but 'The Bride' lives to plot her vengeance. Setting out for some payback, she makes a death list and hunts down those who wronged her, saving Bill for last.",Go for the kill.,Released,http://www.miramax.com/movie/kill-bill-volume-1/,30000000.0,180949000.0,111.0,79.754966,7.7,4949,2003-10-10,150949000.0,5.031633333333334,2003.0,10.0,7.5525
25,Jarhead,Jarhead,en,"Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swafford and his unit are sent to the Persian Gulf where they are earger to fight but are forced to stay back from the action. Meanwhile Swofford gets news of his girlfriend is cheating on him. Desperately he wants to kill someone and finally put his training to use.",Welcome to the suck.,Released,,72000000.0,96889998.0,125.0,32.227223,6.6,765,2005-11-04,24889998.0,0.34569441666666667,2005.0,11.0,6.3993
28,Apocalypse Now,Apocalypse Now,en,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",This is the end...,Released,http://www.apocalypsenow.com,31500000.0,89460381.0,153.0,49.973462,8.0,2055,1979-08-15,57960381.0,1.8400120952380952,1979.0,8.0,7.6266
33,Unforgiven,Unforgiven,en,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",Some legends will never be forgotten. Some wrongs can never be forgiven.,Released,,14000000.0,159157447.0,131.0,37.380435,7.7,1113,1992-08-07,145157447.0,10.368389071428572,1992.0,8.0,7.2016
35,The Simpsons Movie,The Simpsons Movie,en,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",See our family. And feel better about yours.,Released,http://www.simpsonsmovie.com/,75000000.0,527068851.0,87.0,46.875375,6.9,2264,2007-07-25,452068851.0,6.02758468,2007.0,7.0,6.7539
38,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,en,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",You can erase someone from your mind. Getting them out of your heart is another story.,Released,http://www.eternalsunshine.com,20000000.0,72258126.0,108.0,56.481487,7.9,3652,2004-03-19,52258126.0,2.6129063,2004.0,3.0,7.6823
55,Amores perros,Amores perros,es,Three different people in Mexico City are catapulted into dramatic and unforeseen circumstances in the wake of a terrible car crash: a young punk stumbles into the sinister underground world of dog fighting; an injured supermodel's designer pooch disappears into the apartment's floorboards; and an ex-radical turned hit man rescues a gunshot Rotweiler.,Love. Betrayal. Death.,Released,,2000000.0,20908467.0,154.0,23.281616,7.6,521,2000-06-16,18908467.0,9.4542335,2000.0,6.0,6.8616
58,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,en,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",Jack is back!,Released,http://disney.go.com/disneypictures/pirates/,200000000.0,1065659812.0,151.0,145.847379,7.0,5246,2006-06-20,865659812.0,4.32829906,2006.0,6.0,6.921
59,A History of Violence,A History of Violence,en,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,Tom Stall had the perfect life... until he became a hero.,Released,,32000000.0,60740827.0,96.0,34.628738,6.9,832,2005-09-23,28740827.0,0.89815084375,2005.0,9.0,6.5968
62,2001: A Space Odyssey,2001: A Space Odyssey,en,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",An epic drama of adventure and exploration,Released,,10500000.0,68700000.0,149.0,86.201184,7.9,2998,1968-04-10,58200000.0,5.542857142857143,1968.0,4.0,7.6416
65,8 Mile,8 Mile,en,"The setting is Detroit in 1995. The city is divided by 8 Mile, a road that splits the town in half along racial lines. A young white rapper, Jimmy ""B-Rabbit"" Smith Jr. summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. With his pal Future and the three one third in place, all he has to do is not choke.",Every moment is another chance.,Released,http://movies.uip.de/8mile/,41000000.0,215000000.0,110.0,32.798571,6.8,1626,2002-11-08,174000000.0,4.2439024390243905,2002.0,11.0,6.6335
66,Absolute Power,Absolute Power,en,A master thief coincidentally is robbing a house where a murder in which the President of The United States is involved occurs in front of his eyes. He is forced to run yet may hold evidence that could convict the President. A political thriller from and starring Clint Eastwood and based on a novel by David Baldacci.,Corrupts Absolutely.,Released,,50000000.0,50068310.0,121.0,13.576765,6.4,223,1997-02-14,68310.0,0.0013662,1997.0,2.0,6.1871
68,Brazil,Brazil,en,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",It's only a state of mind.,Released,,15000000.0,,132.0,41.089863,7.5,861,1985-02-20,,,1985.0,2.0,6.9828
69,Walk the Line,Walk the Line,en,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.",Love is a burning thing.,Released,,28000000.0,186438883.0,136.0,35.580032,7.3,718,2005-09-13,158438883.0,5.658531535714285,2005.0,9.0,6.8042
70,Million Dollar Baby,Million Dollar Baby,en,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.","Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.",Released,http://www.milliondollarbaby-derfilm.de/,30000000.0,216763646.0,132.0,70.456012,7.7,2439,2004-12-15,186763646.0,6.2254548666666665,2004.0,12.0,7.4265
71,Billy Elliot,Billy Elliot,en,"Set against the background of the 1984 Miner's Strike, Billy Elliot is an 11 year old boy who stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes!",Inside every one of us is a special talent waiting to come out. The trick is finding it.,Released,,5000000.0,110000000.0,110.0,20.428237,7.4,750,2000-05-18,105000000.0,21.0,2000.0,5.0,6.8769
73,American History X,American History X,en,"Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",Some Legacies Must End.,Released,http://www.historyx.com/,20000000.0,23875127.0,119.0,73.567232,8.2,3016,1998-10-30,3875127.0,0.19375635,1998.0,10.0,7.9003
74,War of the Worlds,War of the Worlds,en,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop of his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",They're already here.,Released,,132000000.0,591739379.0,116.0,48.572726,6.2,2322,2005-06-28,459739379.0,3.4828740833333334,2005.0,6.0,6.1809
75,Mars Attacks!,Mars Attacks!,en,"'We come in peace' is not what those green men from Mars mean when they invade our planet, armed with irresistible weapons and a cruel sense of humor.  This star studded cast must play victim to the alien’s fun and games in this comedy homage to science fiction films of the '50s and '60s.",Nice planet. We'll take it!,Released,http://marsattacks.warnerbros.com/,70000000.0,101371017.0,106.0,44.090535,6.1,1509,1996-12-12,31371017.0,0.4481573857142857,1996.0,12.0,6.0981
76,Before Sunrise,Before Sunrise,en,"A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.",Can the greatest romance of your life last only one night?,Released,,2500000.0,5535405.0,105.0,23.672571,7.7,959,1995-01-27,3035405.0,1.214162,1995.0,1.0,7.149
77,Memento,Memento,en,"Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.",Some memories are best forgotten.,Released,http://www.otnemem.com/,9000000.0,39723096.0,113.0,60.715151,8.1,4028,2000-10-11,30723096.0,3.4136773333333332,2000.0,10.0,7.8783
78,Blade Runner,Blade Runner,en,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",Man has made his match... now it's his problem.,Released,http://www.warnerbros.com/blade-runner,28000000.0,33139618.0,117.0,94.056131,7.9,3509,1982-06-25,5139618.0,0.18355778571428571,1982.0,6.0,7.6745
79,Hero,英雄,zh,One man defeated three assassins who sought to murder the most powerful warlord in pre-unified China.,One man's strength will unite an empire.,Released,,31000000.0,177394432.0,99.0,23.607392,7.2,635,2002-12-19,146394432.0,4.722401032258064,2002.0,12.0,6.712
80,Before Sunset,Before Sunset,en,Nine years ago two strangers met by chance and spent a night in Vienna that ended before sunrise. They are about to meet for the first time since. Now they have one afternoon to find out if they belong together.,What if you had a second chance with the one that got away?,Released,http://www.warnerbros.com/?site=beforesunset#/page=movies&pid=f-57b53b9e/BEFORE_SUNSET&asset=059437/Before_Sunset_-_Trailer_1A&type=video/,2700000.0,15992615.0,80.0,14.799323,7.6,718,2004-02-10,13292615.0,4.923190740740741,2004.0,2.0,6.981
83,Open Water,Open Water,en,"Two divers are left out at sea without a boat. There’s nothing but water for miles, unless they look at what’s underneath them...",Scream all you want.,Released,,130000.0,54667954.0,79.0,15.611857,5.4,315,2004-08-06,54537954.0,419.52272307692306,2004.0,8.0,5.8246
85,Raiders of the Lost Ark,Raiders of the Lost Ark,en,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,Released,http://www.indianajones.com,18000000.0,389925971.0,115.0,68.159596,7.7,3854,1981-06-12,371925971.0,20.662553944444443,1981.0,6.0,7.5154
87,Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom,en,"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.",If adventure has a name... it must be Indiana Jones.,Released,http://www.indianajones.com,28000000.0,333000000.0,118.0,66.976776,7.1,2781,1984-05-23,305000000.0,10.892857142857142,1984.0,5.0,6.9464
89,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,en,"When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana must team up with Marcus Brody, Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life.","The man with the hat is back. And this time, he's bringing his Dad.",Released,http://www.indianajones.com/crusade,48000000.0,474171806.0,127.0,80.972475,7.6,3152,1989-05-24,426171806.0,8.878579291666666,1989.0,5.0,7.3936
90,Beverly Hills Cop,Beverly Hills Cop,en,"Tough-talking Detroit cop Axel Foley heads to the rarified world of Beverly Hills in his beat-up Chevy Nova to investigate a friend's murder. But soon, he realizes he's stumbled onto something much more complicated. Bungling rookie detective Billy Rosewood joins the fish-out-of-water Axel and shows him the West Los Angeles ropes.",The Heat Is On!,Released,,15000000.0,316360478.0,105.0,29.843818,6.8,961,1984-11-29,301360478.0,20.090698533333335,1984.0,11.0,6.5578
95,Armageddon,Armageddon,en,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.",The Earth's Darkest Day Will Be Man's Finest Hour,Released,,140000000.0,553799566.0,151.0,58.485967,6.4,2482,1998-07-01,413799566.0,2.9557111857142857,1998.0,7.0,6.3484
96,Beverly Hills Cop II,Beverly Hills Cop II,en,"Detroit cop, Axel Foley heads for the land of sunshine and palm trees to find out who shot police Captain Andrew Bogomil. Thanks to a couple of old friends, Axel's investigation uncovers a series of robberies masterminded by a heartless weapons kingpin – and the chase is on.",,Released,,20000000.0,299965036.0,100.0,25.28436,6.1,613,1987-05-18,279965036.0,13.9982518,1987.0,5.0,6.0965
98,Gladiator,Gladiator,en,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed. He escapes, but is captured by slave traders. Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences. His battle skills serve him well, and he becomes one of the most famous and admired men to fight in the Colosseum. Determined to avenge himself against the man who took away his freedom and laid waste to his family, Maximus believes that he can use his fame and skill in the ring to avenge the loss of his family and former glory. As the gladiator begins to challenge his rule, Commodus decides to put his own fighting mettle to the test by squaring off with Maximus in a battle to the death.",A Hero Will Rise.,Released,,103000000.0,457640427.0,155.0,95.301296,7.9,5439,2000-05-01,354640427.0,3.4431109417475727,2000.0,5.0,7.7478
100,"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",en,A card sharp and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,A Disgrace to Criminals Everywhere.,Released,http://www.universalstudiosentertainment.com/lock-stock-and-two-smoking-barrels/,1350000.0,3897569.0,105.0,16.032594,7.5,1648,1998-03-05,2547569.0,1.887088148148148,1998.0,3.0,7.1723
103,Taxi Driver,Taxi Driver,en,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.","On every street in every city, there's a nobody who dreams of being a somebody.",Released,,1300000.0,28262574.0,114.0,58.845025,8.0,2535,1976-02-07,26962574.0,20.74044153846154,1976.0,2.0,7.6857
104,Run Lola Run,Lola rennt,de,"Lola receives a phone call from her boyfriend Manni. He lost 100,000 DM in a subway train that belongs to a very bad guy. She has 20 minutes to raise this amount and meet Manni. Otherwise, he will rob a store to get the money. Three different alternatives may happen depending on some minor event along Lola's run.",Every second of every day you're faced with a decision that can change your life.,Released,,1530000.0,7267585.0,81.0,27.36562,7.2,664,1998-08-20,5737585.0,3.7500555555555555,1998.0,8.0,6.7241
105,Back to the Future,Back to the Future,en,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",He's the only kid ever to get into trouble before he was born.,Released,http://www.backtothefuture.com/movies/backtothefuture1,19000000.0,381109762.0,116.0,76.603233,8.0,6079,1985-07-03,362109762.0,19.05840852631579,1985.0,7.0,7.855
106,Predator,Predator,en,"Dutch and his group of commandos are hired by the CIA to rescue downed airmen from guerillas in a Central American jungle. The mission goes well but as they return they find that something is hunting them. Nearly invisible, it blends in with the forest, taking trophies from the bodies of its victims as it goes along. Occasionally seeing through its eyes, the audience sees it is an intelligent alien hunter, hunting them for sport, killing them off one at a time.","If it bleeds, we can kill it...",Released,,18000000.0,98235548.0,107.0,50.009408,7.3,2093,1987-06-11,80235548.0,4.457530444444444,1987.0,6.0,7.0671
107,Snatch,Snatch,en,"The second film from British director Guy Ritchie. Snatch tells an obscure story similar to his first fast-paced crazy character-colliding filled film “Lock, Stock and Two Smoking Barrels.” There are two overlapping stories here – one is the search for a stolen diamond, and the other about a boxing promoter who’s having trouble with a psychotic gangster.",Stealin' Stones and Breakin' Bones.,Released,,10000000.0,83557872.0,103.0,53.595686,7.7,2912,2000-09-01,73557872.0,7.3557872,2000.0,9.0,7.4644
111,Scarface,Scarface,en,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",The world is yours...,Released,,25000000.0,65884703.0,170.0,70.105981,8.0,2948,1983-12-08,40884703.0,1.63538812,1983.0,12.0,7.7233
114,Pretty Woman,Pretty Woman,en,"When millionaire wheeler-dealer Edward Lewis enters a business contract with Hollywood hooker Vivian Ward, he loses his heart in the bargain in this charming romantic comedy. After Edward hires Vivian as his date for a week and gives her a Cinderella makeover, she returns the favor by mellowing the hardnosed tycoon's outlook. Can the poor prostitute and the rich capitalist live happily ever after?",Who knew it was so much fun to be a hooker?,Released,,14000000.0,463000000.0,119.0,45.473484,7.0,1746,1990-03-23,449000000.0,32.07142857142857,1990.0,3.0,6.7979
115,The Big Lebowski,The Big Lebowski,en,"Jeffrey ""The Dude"" Lebowski, a Los Angeles slacker who only wants to bowl and drink white Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",Times like these call for a Big Lebowski.,Released,http://www.biglebowskibluray.com/splash.php,15000000.0,46189568.0,117.0,49.230089,7.8,2926,1998-03-06,31189568.0,2.0793045333333335,1998.0,3.0,7.5508
116,Match Point,Match Point,en,"Match Point is Woody Allen’s satire of the British High Society and the ambition of a young tennis instructor to enter into it. Yet when he must decide between two women - one assuring him his place in high society, and the other that would bring him far from it - palms start to sweat and a dark psychological match in his head begins.",Passion Temptation Obsession,Released,,15000000.0,85306374.0,124.0,30.669913,7.3,1105,2005-10-26,70306374.0,4.6870916,2005.0,10.0,6.9237
117,The Untouchables,The Untouchables,en,"Young Treasury Agent Elliot Ness arrives in Chicago and is determined to take down Al Capone, but it's not going to be easy because Capone has the police in his pocket. Ness meets Jimmy Malone, a veteran patrolman and probably the most honorable one on the force. He asks Malone to help him get Capone, but Malone warns him that if he goes after Capone, he is going to war.",What are you prepared to do?,Released,,25000000.0,76270454.0,119.0,38.272889,7.6,1384,1987-06-02,51270454.0,2.05081816,1987.0,6.0,7.1998
118,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,en,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",Willy Wonka is semi-sweet and nuts.,Released,https://www.warnerbros.com/charlie-and-chocolate-factory,150000000.0,474968763.0,115.0,53.905592,6.7,3624,2005-07-13,324968763.0,2.16645842,2005.0,7.0,6.6263
120,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,en,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",One ring to rule them all,Released,http://www.lordoftherings.net/,93000000.0,871368364.0,178.0,138.049577,8.0,8705,2001-12-18,778368364.0,8.369552301075268,2001.0,12.0,7.8964
121,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,en,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",A New Power Is Rising.,Released,http://www.lordoftherings.net/,79000000.0,926287400.0,179.0,106.914973,8.0,7487,2002-12-18,847287400.0,10.725156962025316,2002.0,12.0,7.8806
122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,en,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",The eye of the enemy is moving.,Released,http://www.lordoftherings.net,94000000.0,1118888979.0,201.0,123.630332,8.1,8064,2003-12-01,1024888979.0,10.903074244680852,2003.0,12.0,7.9828
128,Princess Mononoke,もののけ姫,ja,"Ashitaka, a prince of the disappearing Ainu tribe, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",The Fate Of The World Rests On The Courage Of One Warrior.,Released,,26500000.0,159375308.0,134.0,60.732738,8.2,1983,1997-07-12,132875308.0,5.014162566037736,1997.0,7.0,7.7755
129,Spirited Away,千と千尋の神隠し,ja,A ten year old girl who wanders away from her parents along a path that leads to a world ruled by strange and unusual monster-like animals. Her parents have been changed into pigs along with others inside a bathhouse full of these creatures. Will she ever see the world how it once was?,The tunnel led Chihiro to a mysterious town...,Released,http://movies.disney.com/spirited-away,15000000.0,274925095.0,125.0,118.968562,8.3,3840,2001-07-20,259925095.0,17.32833966666667,2001.0,7.0,8.0456
134,"O Brother, Where Art Thou?","O Brother, Where Art Thou?",en,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. On their journey they come across many comical characters and incredible situations. Based upon Homer's 'Odyssey'.",They have a plan...but not a clue.,Released,,26000000.0,71868327.0,106.0,39.742009,7.3,1112,2000-08-30,45868327.0,1.7641664230769232,2000.0,8.0,6.9254
137,Groundhog Day,Groundhog Day,en,"A narcissistic TV weatherman, along with his attractive-but-distant producer and mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.","He's having the worst day of his life... over, and over...",Released,,14600000.0,70906973.0,101.0,52.744331,7.4,2301,1993-02-11,56306973.0,3.8566419863013697,1993.0,2.0,7.1665
141,Donnie Darko,Donnie Darko,en,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",You can never go too far,Released,,6000000.0,1270522.0,113.0,61.210016,7.7,3452,2001-01-18,-4729478.0,-0.7882463333333334,2001.0,1.0,7.4966
142,Brokeback Mountain,Brokeback Mountain,en,Brokeback Mountain is an Ang Lee film about two modern day cowboys who meet on a shepherding job in the summer of ’63. The two share a raw and powerful summer together that turns into a life long relationship conflicting with the lives they are supposed to live.,Love is a force of nature.,Released,http://www.brokebackmountain.com,14000000.0,178043761.0,134.0,44.135568,7.5,1480,2005-09-02,164043761.0,11.7174115,2005.0,9.0,7.1445
146,"Crouching Tiger, Hidden Dragon",卧虎藏龙,zh,"Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically-skilled, teenage nobleman's daughter, who is at a crossroads in her life.","A timeless story of strength, secrets and two warriors who would never surrender.",Released,,17000000.0,213525736.0,120.0,45.742254,7.2,927,2000-10-01,196525736.0,11.560337411764706,2000.0,10.0,6.8118
